Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
MUTLU SFB M3 60 Ач (низ) обр.п. (0);6380;00004695;540А;60,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;175 мм.;15 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
AFA PLUS 60 Ач обр.п. (0);6190;00004693;540А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
DELTA EPS 1230 30 Ач обр. п. (0);9110;00004685;330А;30,0 Ач;12В;4F;Обратная;166 мм.;130 мм.;175 мм.;9.83 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
Numax Silver 70 Ач (90 D 23R) (1);7150;00001686;600А;70,0 Ач;12В;Толстые;Прямая;230 мм.;168 мм.;220 мм.;16 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
DELTA EPS 12201 20 Ач обр. п. (0);7300;00004543;310А;20,0 Ач;12В;4F;Обратная;176 мм.;87 мм.;154 мм.;6.5 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA EPS 1220 24 Ач обр. п. (0);8780;00004542;350А;20,0 Ач;12В;4F;Обратная;205 мм.;87 мм.;162 мм.;7.74 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA EPS 1218.1 18 Ач прям. п. (1);6190;00004541;250А;18,0 Ач;12В;4F;Прямая;151 мм.;87 мм.;161 мм.;5.96 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA EPS 1218 18 Ач прям. п. (1);6530;00004540;270А;18,0 Ач;12В;4F;Прямая;176 мм.;87 мм.;154 мм.;6.5 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA EPS 1214 14 Ач прям.п. (1);6080;00004537;220А;14,0 Ач;12В;4F;Прямая;149 мм.;87 мм.;144 мм.;4.6 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
Bars Silver 75 Ач (низ) прям.п. (1);6180;00004513;650А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;175 мм.;18 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
Numax Silver 80 Ач (95 D 26R) (1);8340;00001689;680А;80,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;17.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 80 Ач (95 D 26L) (0);8340;00001688;680А;80,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;17.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 70 Ач (90 D 23L) (0);7150;00001687;600А;70,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;16 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
AFA PLUS 60 Ач прям.п. (1);6190;00004468;540А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Bosch S5 A13 AGM 95 Ач обр.п. (0);18600;00004453;850А;95,0 Ач;12В;Толстые;Обратная;343 мм.;175 мм.;190 мм.;27 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
DELTA CT 1230 30 Ач обр. п. (0);7360;00003829;300А;2,2 Ач;12В;4F;Обратная;168 мм.;126 мм.;175 мм.;8.5 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1218 20 Ач;4960;00003828;270А;20,0 Ач;12В;4F;Прямая;177 мм.;88 мм.;154 мм.;6.3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
PRESIDENT ECO 80 Ач (90 D 26R) (1);5460;00004229;630А;80,0 Ач;12В;Толстые;Прямая;260 мм.;172 мм.;220 мм.;16.4 кг.;"""ATLASBX, Co., Ltd.""";Республика Корея Провинция Чолла-Пукто
ATLAS BX EFB 80 Ач (115 D 31L) (0);8020;00004242;800А;80,0 Ач;12В;Толстые;Обратная;310 мм.;172 мм.;220 мм.;21 кг.;ATLASBX, Co., Ltd.;Республика Корея Провинция Чолла-Пукто
